tipo_imovel,rotulo,endereco,Link,Valor (R$),Data,Matrícula,ocupado,leiloeiro,Descrição do imóvel,Formas de Pagamento,Direito de Preferência,Observações Gerais,Direitos do Compromissário,Andar,Link do Processo Judicial,Metragem construída,Metragem terreno,Metragem total,Metragem útil,Quartos,Total_Fotos,Vagas
Terreno,1º leilão,"Goiânia / GO - Parque Anhanguera Avenida de Contorno Sul,  s/nº",https://www.portalzuk.com.br/imovel/go/goiania/parque-anhanguera/avenida-de-contorno-sul-s-nº/33569-205939,974462.84,16/07/2025 às 10:30,63.562 do 1º CRI -  Goiânia/GO,Este imóvel encontra-se ocupado no momento.,Banco Original,"Terreno, situado na Avenida Contorno do Sul e Rua Getúlio Vargas, s/nº, lote nº 03 da quadra 27, Parque Anhanguera, Goiânia/GO. Área de terreno: 537,25m². Imóvel objeto da matrícula nº 63.562 do Oficial de Registro de Imóveis da 1ª Circunscrição de Goiânia/GO. Dispensa-se a descrição na íntegra do imóvel, nos termos do art. 2° da Lei 7.433/85 e Art. 3° do Decreto 93.240/86, estando o mesmo descrito e caracterizado na matrícula anteriormente mencionada.",À Vista e sem desconto.,,"Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-original,,"537,25m²",,,,0,
Terreno,2º leilão,"Goiânia / GO - Parque Anhanguera Avenida de Contorno Sul,  s/nº",https://www.portalzuk.com.br/imovel/go/goiania/parque-anhanguera/avenida-de-contorno-sul-s-nº/33569-205939,1038081.64,18/07/2025 às 10:30,63.562 do 1º CRI -  Goiânia/GO,Este imóvel encontra-se ocupado no momento.,Banco Original,"Terreno, situado na Avenida Contorno do Sul e Rua Getúlio Vargas, s/nº, lote nº 03 da quadra 27, Parque Anhanguera, Goiânia/GO. Área de terreno: 537,25m². Imóvel objeto da matrícula nº 63.562 do Oficial de Registro de Imóveis da 1ª Circunscrição de Goiânia/GO. Dispensa-se a descrição na íntegra do imóvel, nos termos do art. 2° da Lei 7.433/85 e Art. 3° do Decreto 93.240/86, estando o mesmo descrito e caracterizado na matrícula anteriormente mencionada.",À Vista e sem desconto.,,"Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-original,,"537,25m²",,,,0,
Comercial / Industrial,1º leilão,"Campinas / SP - Chácara Formosa Rua Magali Zacarias de Souza,  756",https://www.portalzuk.com.br/imovel/sp/campinas/chacara-formosa/rua-magali-zacarias-de-souza-756/33503-205284,2404482.21,16/07/2025 às 10:30,117.889 do 33º CRI -  Campinas/SP,Este imóvel encontra-se ocupado no momento.,Outros Comitentes,"Imóvel Comercial, situado na Rua Magali Zacarias de Souza, nº 756, Lote nº 01-A da quadra 05, Chácara Formosa, Campinas/SP. Área construída estimada: 946,80m² e Área de terreno: 355,56m². Imóvel objeto da matrícula nº 117.889 do 3° Cartório de Registro de Imóveis de Campinas/SP. Dispensa-se a descrição na íntegra do imóvel, nos termos do art. 2° da Lei 7.433/85 e Art. 3° do Decreto 93.240/86, estando o mesmo descrito e caracterizado na matrícula anteriormente mencionada.",À Vista e sem desconto.,,"(I) Consta conforme Avs.16, 17, 18, 19, 20 e 21, Ação de Execução de Título Extrajudicial. (II) Consta conforme Avs.22 e 23, penhora onde a Av.24 corrigiu as citadas penhoras para que recaíssem sobre os direitos e obrigações decorrentes da Alienação Fiduciária, cuja baixa/regularização será de responsabilidade do arrematante. (III) Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/outros-comitentes,"946,80m²","355,56m²",,,,0,
Comercial / Industrial,2º leilão,"Campinas / SP - Chácara Formosa Rua Magali Zacarias de Souza,  756",https://www.portalzuk.com.br/imovel/sp/campinas/chacara-formosa/rua-magali-zacarias-de-souza-756/33503-205284,1794340.6125,18/07/2025 às 10:30,117.889 do 33º CRI -  Campinas/SP,Este imóvel encontra-se ocupado no momento.,Outros Comitentes,"Imóvel Comercial, situado na Rua Magali Zacarias de Souza, nº 756, Lote nº 01-A da quadra 05, Chácara Formosa, Campinas/SP. Área construída estimada: 946,80m² e Área de terreno: 355,56m². Imóvel objeto da matrícula nº 117.889 do 3° Cartório de Registro de Imóveis de Campinas/SP. Dispensa-se a descrição na íntegra do imóvel, nos termos do art. 2° da Lei 7.433/85 e Art. 3° do Decreto 93.240/86, estando o mesmo descrito e caracterizado na matrícula anteriormente mencionada.",À Vista e sem desconto.,,"(I) Consta conforme Avs.16, 17, 18, 19, 20 e 21, Ação de Execução de Título Extrajudicial. (II) Consta conforme Avs.22 e 23, penhora onde a Av.24 corrigiu as citadas penhoras para que recaíssem sobre os direitos e obrigações decorrentes da Alienação Fiduciária, cuja baixa/regularização será de responsabilidade do arrematante. (III) Imóvel ocupado. Desocupação pelo adquirente, nos termos do art. 30 e § único da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/outros-comitentes,"946,80m²","355,56m²",,,,0,
Terreno,1º leilão,"Rio Grande da Serra / SP - Vila Marcos Rua Santo Antônio ,  s/nº",https://www.portalzuk.com.br/imovel/sp/rio-grande-da-serra/vila-marcos/rua-santo-antonio-s-nº/33252-203548,849566.92,26/06/2025 às 10:50,"31.200 do 1º CRI -  Ribeirão Pires/SP
                                      -  Nº Contribuinte: 4336422540328000001",Este imóvel encontra-se ocupado no momento.,Judicial de São Paulo - TJSP,"Terreno referente a parte do Lote 02 da Gleba 40, situado à Rua Santo Antônio, s/nº, Vila Marcos, Área Terreno 13.507,13m², Matrícula 31.200 do 01º CRI de Ribeirão Pires/SP.",À vista (não admite utilização de carta de crédito).,"Caso exista interesse no exercício da preferência durante a disputa, conferir atentamente as informações constantes na seção ""DIREITO DE PREFERÊNCIA"" no edital do leilão do respectivo lote (CPC, art. 892, § 2o e 843, § 1o).","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 05/12/2024 sobre o Imóvel recaem R$ 174.747,04 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,"13.507,13m²",,,,0,
Terreno,2º leilão,"Rio Grande da Serra / SP - Vila Marcos Rua Santo Antônio ,  s/nº",https://www.portalzuk.com.br/imovel/sp/rio-grande-da-serra/vila-marcos/rua-santo-antonio-s-nº/33252-203548,425887.9050,16/07/2025 às 10:50,"31.200 do 1º CRI -  Ribeirão Pires/SP
                                      -  Nº Contribuinte: 4336422540328000001",Este imóvel encontra-se ocupado no momento.,Judicial de São Paulo - TJSP,"Terreno referente a parte do Lote 02 da Gleba 40, situado à Rua Santo Antônio, s/nº, Vila Marcos, Área Terreno 13.507,13m², Matrícula 31.200 do 01º CRI de Ribeirão Pires/SP.",À vista (não admite utilização de carta de crédito).,"Caso exista interesse no exercício da preferência durante a disputa, conferir atentamente as informações constantes na seção ""DIREITO DE PREFERÊNCIA"" no edital do leilão do respectivo lote (CPC, art. 892, § 2o e 843, § 1o).","1) Eventuais Débitos de IPTU/ITR que recaiam sobre o Imóvel serão atualizados e quitados com o produto da venda, mediante solicitação expressa do Arrematante ao MM Juízo da Causa. OBS: Conforme consulta ao Site da Prefeitura em 05/12/2024 sobre o Imóvel recaem R$ 174.747,04 de IPTU/DÍVIDA ATIVA.2) Eventual necessidade de regularização documental/construção junto aos órgãos competentes será de responsabilidade do Arrematante.3) Condição de venda: À vista (não admite utilização de carta de crédito).4) Proposta parcelada: Eventuais opções de envio de proposta na seção Formas de pagamento5) Imóvel Ocupado. Desocupação por conta do Arrematante.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/leilao-judicial-sao-paulo-tjsp,,"13.507,13m²",,,,0,
Apartamento,1º leilão,"Goiânia / GO - Vila Rosa Avenida Marialva,  S/n",https://www.portalzuk.com.br/imovel/go/goiania/vila-rosa/avenida-marialva-s-n/33521-205538,320000.00,16/07/2025 às 11:00,337.329 do 1º CRI -  Goiânia/GO,Este imóvel encontra-se ocupado no momento.,Erro de requisição,"Apartamento n. 2205, localizado na Torre 2, no Residencial Spazio Di Lorenzzo, situado na Avenida Marialva, Lote n. 2/6 da Quadra 18, Vila Rosa, na cidade de Goiânia/GO, com área total privativa de 69,39m² (56,45m² do Apto, 11,52m² da Vaga de garagem e 1,42m² do Escaninho), área de uso comum de 27,7882m² e área total de 97,1782m², correspondendo-lhe no terreno e nas coisas comuns a fração ideal de 8,1461m² ou de 0,2580%, com direito a Vaga de garagem n. 166-SS2 e ao Escaninho n. 190-SS2. Imóvel objeto da matrícula nº 337.329 do 1° Oficial de Registro de Imóveis de Goiânia/GO.",À Vista e sem desconto.,,"Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,,,"97,18m²","69,39m²",,0,1
Apartamento,2º leilão,"Goiânia / GO - Vila Rosa Avenida Marialva,  S/n",https://www.portalzuk.com.br/imovel/go/goiania/vila-rosa/avenida-marialva-s-n/33521-205538,247523.5523,30/07/2025 às 11:00,337.329 do 1º CRI -  Goiânia/GO,Este imóvel encontra-se ocupado no momento.,Erro de requisição,"Apartamento n. 2205, localizado na Torre 2, no Residencial Spazio Di Lorenzzo, situado na Avenida Marialva, Lote n. 2/6 da Quadra 18, Vila Rosa, na cidade de Goiânia/GO, com área total privativa de 69,39m² (56,45m² do Apto, 11,52m² da Vaga de garagem e 1,42m² do Escaninho), área de uso comum de 27,7882m² e área total de 97,1782m², correspondendo-lhe no terreno e nas coisas comuns a fração ideal de 8,1461m² ou de 0,2580%, com direito a Vaga de garagem n. 166-SS2 e ao Escaninho n. 190-SS2. Imóvel objeto da matrícula nº 337.329 do 1° Oficial de Registro de Imóveis de Goiânia/GO.",À Vista e sem desconto.,,"Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,,,"97,18m²","69,39m²",,0,1
Casa,1º leilão,"Uberlândia / MG - Parque Santo Antônio Rua Neilton Cobo Victor,  591",https://www.portalzuk.com.br/imovel/mg/uberlandia/parque-santo-antonio/rua-neilton-cobo-victor-591/33395-204630,423781.11,02/07/2025 às 11:00,64.630 do 2º CRI -  Uberlândia/MG,Este imóvel encontra-se ocupado no momento.,Itaú Unibanco S.A,"Um terreno situado na cidade de Uberlândia/MG, no Bairro Parque Santo Antônio, na Rua I, designado pelo lote n° 19 da quadra n° 16, medindo dez (10,00) metros de frente e aos fundos, por vinte e cinco (25,00) metros de extensão dos lados, com a área de 250,00m²; confrontando pela frente com a Rua I, pelo lado direito com o lote n° 18, pelo lado esquerdo com o lote n° 20, e aos fundos com o lote n° 06. Conforme Av.7, foi construído um prédio residencial, com 64,65m² de área construída, situado na Rua I, nº 591. Imóvel objeto da matrícula nº 64.630 do 2° Oficial de Registro de Imóveis de Uberlândia/MG.",À Vista e sem desconto.,,"(I) Imóvel com área construída estimada de 127,27m², situado na Rua Neilton Cobo Victor. Eventual necessidade de regularização perante os órgãos competentes, correrá por conta do comprador. (II) Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,"127,27m²","250,00m²",,,,0,
Casa,2º leilão,"Uberlândia / MG - Parque Santo Antônio Rua Neilton Cobo Victor,  591",https://www.portalzuk.com.br/imovel/mg/uberlandia/parque-santo-antonio/rua-neilton-cobo-victor-591/33395-204630,211890.5650,16/07/2025 às 11:00,64.630 do 2º CRI -  Uberlândia/MG,Este imóvel encontra-se ocupado no momento.,Itaú Unibanco S.A,"Um terreno situado na cidade de Uberlândia/MG, no Bairro Parque Santo Antônio, na Rua I, designado pelo lote n° 19 da quadra n° 16, medindo dez (10,00) metros de frente e aos fundos, por vinte e cinco (25,00) metros de extensão dos lados, com a área de 250,00m²; confrontando pela frente com a Rua I, pelo lado direito com o lote n° 18, pelo lado esquerdo com o lote n° 20, e aos fundos com o lote n° 06. Conforme Av.7, foi construído um prédio residencial, com 64,65m² de área construída, situado na Rua I, nº 591. Imóvel objeto da matrícula nº 64.630 do 2° Oficial de Registro de Imóveis de Uberlândia/MG.",À Vista e sem desconto.,,"(I) Imóvel com área construída estimada de 127,27m², situado na Rua Neilton Cobo Victor. Eventual necessidade de regularização perante os órgãos competentes, correrá por conta do comprador. (II) Imóvel Ocupado. Desocupação por conta do adquirente, nos termos do art. 30 da lei 9.514/97.",,,https://www.portalzuk.com.br/leilao-de-imoveis/v/banco-itau,"127,27m²","250,00m²",,,,0,
